id,pavilion,Latitude,Longitute,area,admission,exhibit_price_1,exhibit_price_2,hours,exhibit 1,exhibit 2,exhibit 3,official_guide_ref,note 1,note 2,note 3,note 4,note 5,note 6,note 7,note 8,note 9,note 10
15,Bell System,40.749229,-73.836673,Industrial,$0.00,,,10am - 10pm,"From Drumbeat to Telstar: For the tour through communications history, the visitor, in a moving chair with earphones, is whisked through scenes showing the progress of man's efforts to communicate with others. Movies, stage sets and specially projected pictures tell the story with a theatrical three-dimensional effect, accompanied by music and a narration (OG, 82).","Telephones and Tic-Tac-Toe: The technological exhibits in the lower level of the Bell pavilion are interspersed with games. Visitors may test their own musical pitch or they may play tic-tac-toe. The development of the telephone is illustrated, and guests may use actual ""picturephone"" instruments developed by Bell Telephone Laboratories.","The Visible Speech: Transforms voices into visual symbols on a TV screen. The products of more than 80 years of research and development by the Bell System are on display. A large illuminated wall screen traces the various networks that tie together local, national international calls (OG, 82).","60, 301","A show traces communication from the tom-tom to Telstar, and displays explain the scientific aspects.",,,,,,,,,
16,Berlin,40.750013,-73.845569,International,$0.00,,,10am - 10pm,,,,"122, 301",The city's present and future are strikingly shown.,,,,,,,,,
17,Better Living Center,40.746563,-73.837002,Industrial,$0.00,,,10am - 10pm,"The Leisure Life: Audio-visual presentations and live programs are offered dealing with such subjects as recreation, sports and travel (OG, 92).","A Truckload of Food: A glass-walled trailer truck, containing the 90-day food supply of for an average American family, is a feature of a large and varied food exhibit. Elsie the Cow, representing the Borden Company, stars every 15 minutes in a fanciful show with animated figures (OG, 92).","Crystal Palace of Fashion: The second level og the center functions as a fashion headquarters. Amid decorations inspired by London's Crystal Palace of 1851, four fashion shows a day are presented in an ampitheater. Kiosk booths exhibit the latest in fashion, from cosmetics to accessories  (OG, 92.)","24, 29, 60, 63, 93, 301","House with the Most: The first level is mainly devoted to the home: what to build it with, how to furnish it. At the center of the floor is a ful-sized seven room dream house fitted out with the last word in modern materials, furnishings and design ideas. The Gallery of Kitchens presents the latest in equipment and appliances for the kitchens of today and tomorrow. The Promenade of Interiors is a comprehensive exhibition of interior decorating, lively with a variety of new fabric, furniture and lighting ideas.","The Creative Life: The Better Living Art Gallery on the roof presents ""Four Centuries of American Masterpieces,"" selected by a group of curators from leading museums. The Better Living Theatre, on the second level, feautures plays, concerts, fashion shows, movie premieres and lectures. An FM radio station broadcasts programs from studio broadcasts programs from a studio adjacent to the theater.","Ladies Haven: In the Official Hospitality Center for the Women's Organizations of the World, visiting members of any of 265 women's clubs are made welcome.",At the Stock Market: Visitors are encouraged to seek advice about financial investments at a stockbrokerage office in the lobby.,"National Industries for the Blind has a 20-page Braille booklet, prepared by the Lighthouse for the Blind, describing World's Fair pavilions and providing directions to them is available for free.",Schumacher Exhibit has the Waverly Decortron that can pick the fabrics that belong in your home. Electronically.,An official Women's Hospitality Center is sponsored by Purex on the roof. This is a meeting place for women's groups from all over the world. ,,,
18,Billy Graham Pavilion,40.750263,-73.844752,International,$0.00,,,10am - 10pm,"Man in the Fifth Dimension: This 28-minutes color movie, showm on a 50-foot, ""wrap-around"" screen which provides a feeling of audience participation, is presented in the theater once an hour. The movie, recounting the story of mankind from the beginning of time, gives practorial dimension to Billy Graham's Biblical philosophy. There are simultaneous translations of his narration into French, German, Spanish, Chinese, Japanese and Russian. For those who accept the invitation to receive Christ, given by Dr. Graham in the film, a trained staff offers guidance and counseling, also in several languages.","An International Ministry: In the surrounding garden and exhibit galleries, photographic displays show the international scope of Billy Graham's ministry. In the entrance gallery, there is a transparent, multi-colored globe, six feet in diameter, which has been marked to show the places to which has been marked to show the places to which the minister has carried his worldwide Crusade for Christ.",,"122, 126, 301",The evangelist's message is presented here.,,,,,,,,,
19,"""Bounty""",40.761455,-73.850064,Flushing Bay,$0.90 adults; $0.50 children under 12,,,10am - 10pm,"Ready for the Sea: The ""Bounty"" is shown much as the original looked when first make Fletcher Christian seized control of the ship from Captain William Bligh in 1789. She has three masts, 14 horizontal yards and more than 10 miles of rigging. Her cannon are in place, her cabins completely furnished, her hold packed with hogsheads. The ship has traveled more than 40,000 miles under sail. Uniformed attendants answer questions.","Exhibits on Shore: the survival craft, the canoe of the temptresses and Bounty souvenirs.",,"247, 301","The famous British armed merchantman, as re-created in meticulous detail for the 1962 movie, Mutiny on the Bounty is displayed by Metro-Goldwyn-Mayer as the Marina in Flushing Bay. The replica was built in Nova Scotia, to the plans fo the 18th Century vessel.",,,,,,,,,
20,Boy Scouts of America,40.747018,-73.836101,Industrial,$0.00,,,10am - 10pm,,,,"60, 301","Exhibitions of knot-tying, mapmaking, fire-starting and other scouty skills are put on daily.",,,,,,,,,
21,The Caribbean Pavilion,40.747601,-73.844344,International,$0.00,,,10am - 10pm,,,,"34, 122, 301","From the islands come calypso singers, steel bands and such handicrafts as tortoise-shell jewelry.",,,,,,,,,
22,Central America & Panama,40.748126,-73.843899,International,$0.00,,,10am - 10pm,"Arts and Crafts: Gold and ceramic objects fashioned by Indians before the days of Cortez share the displays wirth contemporary works. A curio shop sells wooden figurines, silver jewelry, small archological relics and recordings of Central American music. ","Resorts and Ruins: A color film shows Central America's beach resorts, jungle and mountain regions, Mayan ruins and Spanish colonial towns.",,"122, 168, 170, 301","Modern art and ancient culture are main themes, plus exhibits on travel and commerce.",,,,,,,,,
23,Century Grill,40.748732,-73.852456,Transportation,$0.00,,,10am - 10pm,,,,"40, 200, 301","Hamburgers are the main fare here, served with exotic sauces and side dishes from many foreign lands.",,,,,,,,,
24,Christian Science Pavilion,40.744045,-73.841257,International,$0.00,,,10am - 10pm,,,,"122, 301",The religion is explained in displays and recorded testimonials in a handsome star-shaped pavilion.,,,,,,,,,
25,Chrysler,40.744999,-73.849196,Transportation,$0.00,,,10am - 10pm,"Engineering Island: Prime attraction is the vast engine, a structure with a huge revolving fan in front and an air filter on top, 55 feet up. Visitors walking through its innards see a writhing dragon with snapping jaws, which drives pistons weighing nearly a ton apiece. A turbine engine developed by Chrysler is on display, and a montage shows the sources of energy that may drive engines of the future.","Production Islands: Seated in 12 car bodies, visitors travel along an assembly line which winds through and around an open-sided structure. Mechanical workmen line the ride, and both visitors and car bodies receive an ""O.K."" in a quality-control center.","Styling Island: A giant car, 80 feet long from bumper to bumper, with wheels more than 20 feet high, dominates the island. Underneath the car, which sits seven feet above the ground, is an exhibit area in which visual displays stress the company's automotive styling.","214, 216, 301",Operation Island: Eight-foot-high animated characters show the world wide operations of Chrysler other than automobile manufacturing.,"Puppet Show: A 24-minute musical comedy, with puppets designed by Bil Baird, is given continuously on the fifth island in an elaborate theater built in the shape in the company's Pentastar symbol.",,,,,,,,
26,Chun King Inn,40.740464,-73.841119,Lake Amusement,$0.00,,,10am - 2am,,,,"34, 228, 231, 301",A restaurant and two teahouses in an Oriental setting serve full-course meals priced at under a dollar.,,,,,,,,,
27,Chunky Candy,40.746977,-73.837281,Industrial,$0.00,,,10am - 10pm,"Candy in Production: With the normal manufaturing speed slowed to make every step readily understandable, candy bars are produced, cooled, wrapped and boxed. The freshly make candies are sold at a sales booth.","Statues to Play with: In the ""Sculpture Continuum"" playground, children may clamber all over the plastic abstractions, which vary in height from two to 14 feet. As an extra surprise for the youngsters, when the statues are viewed through special peepholes, they align in the form of recognizable objects - a duck, a man standing on his head, a giraffe and so on (OG, 88).",,"60, 301",Sweets in the making can be seen through the walls of a transparent factory; there is also a playground.,,,,,,,,,
X,The Church of Jesus Christ of Latter Day Saints ,,,,,,,,,,,,,,,,,,,,,
28,Clairol,40.747555,-73.838033,Industrial,$0.00,,,10am - 10pm,,,,"60, 301","This is a hair-coloring display, just for ladies.",,,,,,,,,
29,Coca-Cola,40.749397,-73.840999,Industrial,$0.00,,,10am - 10pm,"Global Holiday: During a 15-minute stroll, visitors pass through these recreations of exotic places: a bustling Hong Kong street, a serene Indian garden, a bavarian ski lodge, a Cambonian forest and Rio de Janeiro. ",Ham Radio: The American Radio Relay League has installed a superb threeposition sending and receiving station that is capable of reaching all the way around the globe. The station is available for licensed operators to use and visitors to watch. ,"Servicemen's Canteen: A lounge of the United States Organizations is linked by phone to the USO's Times Square Center. Attendants help servicemen obtain tickets to attractions in the New York area; in addition, they supply information on travel and accommodations.","24, 60, 108, 301","In the pavilion the USO maintains a ""referral and information lounge"" for servicemen and their dependents.",a 15-minute round-the-world journey gives visitors the sights and sounds of five widely scattered regions.,,,,,,,,
30,Continental Circus,40.740274,-73.842824,Lake Amusement,"$1.00, $2.00 & $3.00",,,10am - 10pm,Main Show: Star acts recruited from all over the world range from acrobats to chimpanzees who play musical instruments.,"Circus Museum: A candy-striped pavilion has exhibits from the famoud Ringling Circus Museum in Sarasota, Florida. The displays reconstruct the history of the circus, from the chariot contests in ancient Rome's Circus Maximus to the present, with particular emphasis on the flamboyant Barnum and Bailey period at the turn of the century.","Circus Parage: A parade marches from the circus building through the fairgrounds once on weekdays, twice on Saturdays, Sundays and holidays.","60, 230, 301","The American Revolution is recreated in animated cartoons, dioramas, paintings and song.",,,,,,,,,
31,Continental Insurance,40.747156,-73.836895,Industrial,$0.00,,,10am - 10pm,"Parade of Heroes: ""Cinema 76,"" a continuous 30-minute screen show, is seen from a viewing platform that holds 200 spectators. In cartoon and song, the show tells of Revolutionary War heroes, some known to all Americans, some obscure.","Battles, Maps and Paintings: A continental soldier stands inside the exhibit building a color transparency of a painting by Tom Lovell. Dioramas show the winter encampment at Valley Forge: the Battles of Benington, Fort Moultrie and Long Island; and, on a simulated sea, Captain John Paul Jone's Bonhomme Richard, her guns blazing, fighting Serapis rail to rail.",,"88, 136, 301","An animated slide sequence shows Deborah Sampson, women soldier in the Revolution, was photographed not from drawings but from a series of needlepoint pictures - 50 of them, involving more than 100,000 hand-sewn stitiches.",,,,,,,,,
32,Dancing Waters ,40.740683,-73.838981,Lake Amusement,$0.50,,,10am - 12am,,,,"228, 301","In colorful displays, swaying, dipping, soaring columns of water perform an intricate ballet to synchronized music while lights of many hues play over them.",,,,,,,,,
33,Denmark,40.749335,-73.843564,International,$0.00,,,10am - 10pm,"Tivoli in Miniature: In a 160-foot-long area, children can sail paper boats made for them by kindergarten nurses in attendance, whisk down a dipsy-doodle slide, explore a mazy, play in a giant sanbox and climb about a Forbidden House where they can peek through a huge keyhole, stamp on the floors, or take a turn at a ship's helm. The playground was created by exports who designed the original in Copenhagen.","Exhibit Promenade: Craftsmen demonstrate silversmithing, porcelain-turning and other Danish arts. Nearby, fine Danish products - toys, dinnerware, glassware, cutlery, furniture - are forsale. A ""hall of fame"" pictures some famous Danes of history, including storyteller Hans Christian Andersen and Niels Bohr, father of atomic energy.",,"34, 40, 123, 130, 301","A famous Copenhagen playground is re-created, products are shown and a ""hall of fame"" honors noted Danes.",,,,,,,,,
34,Du Pont,40.748755,-73.840484,Industrial,$0.00,,,10am - 10pm,"Chemical Comedy: Bright music and technical tricks (for example, conversations and stage business between filmed actors and live ones) help make ""Wonderful World of Chemistry"" a lively show. The revue traces in song and dance the evolution of chemistry, from ancient Greece to today. It includes an excursion into the world of fashion, featuring clothes made of Du Pont fibers and created by some of the nation's top fashion designers.","Polyester Prestidigitation: In the demonstration following the show, a performer picks up a red-hot rod, with his hand protected only by a paperthn piece of plastic; he paints a stripe from an electrical outlet to a radio and the radio begins to play; he makes a piece of ice burst into flame. In all, there are about two dozen demonstrations of startling uses for products made by Du Pont.",,"60, 102, 301",A musical revue presents a lively history of chemistry; there are also demonstrations of chemical wizardry.,,,,,,,,,
35,Dynamic Maturity,40.748988,-73.841782,Industrial,$0.00,,,10am - 10pm,"Paintings and Pictures: The pavilion offers several special visual attractions. Panoramic view of the fairgrounds are seen in a darkened room by means of the ancient camera obscura process - a rotating mirror and a lens pick up and project scenes from outdoors. Sixteen paintings on the pleasures of leisure by the meticulous Danish artist Kurt Ard are on display in a large gallery, while the Hall fo Fame has photographs of public figures who have been cited by the AARP-NRTA for their interest in problems of retirement. In a garden decorated by replicas of historic U.S. flags, visitors receive free photographs of themselves. A large sundial by benches and flowers, providing a pleasant atmosphere for relaxation and contemplation.","Organizations at Work: In six exhibits the NRTA and AARP describe programs for members that include lowcost medical insurance and drugs, educational and cultural oppurtunities and tours around the world. Members of the two organizations who register with the pavilion may win free trips. ",,"60, 104, 301",Exhibits show secrets of retirement. ,,,,,,,,,
36,Eastern Air Lines,40.748017,-73.853186,Transportation,$0.00,$0.50 adult; $0.25 children for Fare to the Airport,,10am - 10pm,,,,"200, 301",The building serves as a ticket office and provides bus connections to the line's airport terminal.,,,,,,,,,
37,Eastman Kodak,40.74478,-73.83969,Industrial,$0.00,,,10am - 10pm,"Floating Carpet: The roof of the building provides a variety of backgrounds for photographers, including gently sloping walkways, sculptured fountains, pools containing exotic flowers - a even an area simulating the moon's surface. Reached by stairways and escalators, the roof is 363 feet in length and is supported by an unusual arrangement of columns that from a distance makes it appear to float.","Color Giants: Five color photographs, each 30 by 36 feet in size and illuminated day and night, are mounted on a tower 80 feet high which rises above one end of the pavilion. The prints, changed every four weeks, are selected from among thousands of photographers taken by special camera crews that traveled the world looking for striking pictures of nature and of people at work and play.","Seeing, Hearing and Learning: A 15-minute color movie, The Searching Eye, made by the noted film technician Saul Bass, gives a child's view of commonplace and unusual wonders of the world. Utilizing a new multi-image, 70-millimeter projection process, the movie is shown in a large, air-conditioned circular theater, entered from the roof of the eight-story picture tower. In the smaller theater, entered from the roof of the pavilion, there are fashion shows and demonstrations of Kodak's textiles as well as other nonphotographic products.","98, 301","Answers and Exhibts: On the ground floor is a potpourri of services and displays. Attendants in an information center direct people to photogenic events being held at the Fair, specialists answer questions on photography, and technicians make free minor camera repairs and adjustments.",,,,,,,,,
38,Equitable Life Assurance,40.749965,-73.83915,Industrial,$0.00,,,10am - 10pm,"Our Changing Population. The Demograph is studded with electronically controlled lights that indicate not only births and deaths but also age and sex distributions, the trend toward metropolitan areas, and rates of future growth in the United States. Hanging above the map is the giant counter, which dramatizes the growth of the total U.S. population - at the rate of one person every 11 seconds - by displaying the current figure in numbers more than sex feet high.",The World Explosion. Constantly rising totals on the world counter reflect the phnemenal spped at which the earth's population of more than three billion is increasing (at a rate of about two persons a second). An accompanying map shows the distribution of the world population. ,,"60, 76, 301",Animated maps and countries keep track of the population explosion in America and around the world.,Interpreting the Figures. A narrator explains the significance of population and growth and distribution in the coming years. Earphones installed along sides of the pavilion provide facts about the populationn of the United States in specific areas. Earphones near the map of the world furnish similar information on a global scale in a variety of foreign languages.,,,,,,,,
39,Festival of Gas,40.750484,-73.840704,Industrial,$0.00,,,10am - 10pm,,,,"34, 60, 68, 127, 301","The uses of gas are shown in moving pictures, cooking demonstrations and new-product displays.","A puppet movie, a magic show, cooking demonstrations and product displays have been assembled by the gas industry in a pavillion of light, airy architecture in a pleasure garden.","Carousel Preview - A giant carousel, 12 feet of the ground, slowly revolves within the exhibit area and permits riders to view the displays they are about to visit. A complete turn takes about five minutes.",,,,,,,
40,First National City Bank,40.752897,-73.838603,Industrial,$0.00,,,10am - 10pm,,,,"24, 60, 301","Offers complete banking services to fairgoers for branch members. The bank sells traveler's checks, exchanges foreign currency and will even arrange for a loan. Tellers speak several languages.",This is the Fair's only bank; changing foreign currency to dollars is one of the specialties.,,,,,,,,
41,Florida,40.738714,-73.843282,Lake Amusement,$0.00,$2.00 adults; $1.00 children for Porpoise Show,,10:30am - 10pm,"Sampling of the Sunshine State: In the State Exhibit Hall are displays of priceless objects of art on loan from public and private Florida collections, and exhibits relating to Florida communitites, industry, agriculture, sports and education. A series of scale models tells the story of the U.S. space program.","Porpoises and Bands: A troupe of the ""second-smartest mammals"" in the world plays basketball nad ""sings,"" dances and clowns in the daytime shows at the Porpoise Pool and Stadium. A nearby tank contains several frolicking sea lions.","Floating Buildings: Looking  like ultramodern houseboats, two buildings rest on pilings in Meadow Lake.","245, 301","Model Homes: Two furnished houses, a two-bedroom cottage and a three-bedroom home with swimming pool, show the latest in Florida living.","Flamingo Isle: Beautiful flamingos strut in an enclosed pool, providing a natural display of brilliant colors.",,,,,,,,
42,Ford,40.748078,-73.850589,Transportation,$0.00,,,10am - 10pm,"The Magic Skyway: Seated in convertibles, fairgoers are first taken for a ride through plastic tunnels around the outside of the rotunda for a sweeping view of the grounds, then on to the exhibit building and the fantasyland within. ","Fields of Science: A separate ""Hall of Science"" highlights some of the prime research projects engaging scientists at Ford and Philco. Included here are demonstrations of laser light; the sound of stars as picked up by radio telescope; and displays of the new vinyls, crystals and metals to be used in Fords.",,"200, 204, 301","The auto is king here. There are cars of all kinds, and a ride in automatically controlled convertibles reveals scenes of the caveman's world and the city of tomorrow.",,,,,,,,,
43,Formica,40.750589,-73.836862,Industrial,$0.00,,,10am - 10pm,"""Talking House"" Tour: The interior of the house is viewed from an enlarged hallway, where a tape-recorded tour past animated displays takes  13 minutes. Features of the home, besides its ease of housekeeping, are a patio that gives access to four rooms, and the four skylights, which are located in the family room, hallway, beakfast area and kitchen. ","Exhibit Arcade: Shown here are building products, furnishings and other items, some form Formica Corporation and other divisions of the American Cyanamid Company, others provided by a number of independent manufacturers who supplied products for the model house.",,"60, 81, 301",A full-sized house uses Formica thoughout.,,,,,,,,,
44,France,40.743944,-73.843183,International,$0.00,,,10am - 10pm,"Boutiques: The many shops lining the building's aisles - which are named for Paris streets - specialize in the goods of the country. One sells luxury items such as perfume, another packaged gourmet foods, and so on. ",,,"34, 122, 148, 301","Small, fashionable shops in aisles named for Paris streets sell luxury goods such as perfumes and gourmet foods.",,,,,,,,,
45,Garden of Meditation,40.743958,-73.84027,International,$0.00,,,10am - 10pm,,,,"29, 301",Is specially meant for relaxation.,,,,,,,,,
46,General Cigar,40.746499,-73.840238,Industrial,$0.00,,,10am - 10pm,"Magic Show: A magician causes human beings and objects to appear from nowhere, float about and vanish, in this 10-minute show staged three times an hour in the pavilion's theater. Visitors may also puzzle over a ""hand machine"" - two life-sized hands projecting from strips of metal with nothing behind them, which move and make human gestures.","Movie in the Round: General Cigar and Sports Illustrated co-sponsor a bird's eye view of sports in motion, projected on a 360 degree screen sunk in a well. Visitors may move freely around the well, looking down at baseball, football, hockey and other games photographed from above. The climax is a parachute sequence in which the viewer himself seems to be descending: it was filmed with a camera strapped to an actual jumper.",,"60, 100, 301",A magician causes people to float in the air and vanish; sports movies feature startling optical effects.,,,,,,,,,
47,General Electric,40.747433,-73.83858,Industrial,$0.00,,,10am - 10pm,"Carousel Theatre: In the first part of the program, separate auditoriums, each holding 250 people, circle into position and are carried past staged on which life-sized, three-dimensional, animated human figures move, talk, laugh and act out the story of electricity in the home from the Gay '90s to the present (OG, 90). ","The Corridor of Mirrors: Visitors pass through a hall in which giant photos of General Electric scientists and engineers - at work on laser rays, space technology, nuclear experiments and low-temperature research - are reflected and re-flected in mirrors until it seems that whole armies of scientists are present (OG, 90).","The Sky Dome Spectatcular: By means of a dramatic new projection technique, the interior of the great dome is filled with the sights and sounds of the great natural scources of energy: fierce electrical storms, fire, a blazing sun and thousands of spinning atoms. A narrator describes man's historic search to harness energy and introduces the fusion experiment to follow (OG, 92). ","60, 92, 301","Fusion of the Earth: In the first demonstration of controlled thermonuclear fusion ot be witnessed by a large general audience, a magnetic field squeezes a plasma of deuterium gas for a few millionths of a second at a temperature of 20 milliondegrees Fahrenheit. There is a vivid flash and a loud report as atoms collide, creating free energy (evidenced on instruments).","Electrical Living: Apart from the scehduled show, a model all-electric community is on display which the latest electric innovations for the home, public buildings, industry and space exploration.","Exhibits include a revolving theater, Walt Disney displays and a demonstration of nuclear fusion.",,,,,,,
48,General Motors,40.742404,-73.847129,Transportation,$0.00,,,10am - 10pm,"The New Futurama: In this updated version of GM'S classic ride into the future, visitors sit in individual plastic contour seats equipped with speakers that supply a narration. The seats move along a track that alternately dips and climbs through the two floors of the exhibition hall.","The Avenue of Progress: GM'S scientific pursuits, as depicted in this exhibit, range from space age research to product engineering. A cosmic space chamber, applications of solar energy and turbine engines are displayedm as are new uses of metals, plastics and fabrics. There are also examples of the latest techniques in automotive design.",,"200, 222, 301","A fascinating close-up look at the future offers a foretaste of lunar commuting. Antarctic ice ports, moving sidewalks and vacation resorts under the oceans.",,,,,,,,,
